R_Contact_Email,Middle_Name,Date_of_Birth,Gender_ID,Marital_Status_ID,Household_Position_ID,Mobile_Phone,Company_Phone,Prefix_ID,Contact_Status_ID,Tester notes
kcradduck+testing@crossroads.net,Ann,1/1/1983,2,2,1,513-654-8745,555-365-4125,1,,
kcradduck+husband@crossroads.net,A,1/1/1975,1,2,1,321-654-8184,,2,,
kcradduck+kid14@crossroads.net,,1/1/2001,1,1,2,321-548-6154,,,,
kcradduck+kid17@crossroads.net,D,1/1/1998,2,1,4,654-818-1425,,,,
mpcrds+auto+husband@gmail.com,Vader,1/1/1975,1,2,1,513-654-8745,555-365-4125,1,,
mpcrds+auto+wife@gmail.com,Queen,1/1/1975,2,2,1,321-654-8184,,2,,
mpcrds+auto+child1@gmail.com,,1/1/2001,1,1,2,321-548-6154,,,,
mpcrds+auto+child2@gmail.com,D,1/1/1998,2,1,4,654-818-1425,,,,
mpcrds+auto+fredflintstone@gmail.com,S,1/1/1975,1,2,1,513-654-8745,555-365-4125,1,,
mpcrds+auto+wilmaflintstone@gmail.com,A,1/1/1975,2,2,1,321-444-8184,,2,,
mpcrds+auto+pebblesflintstone@gmail.com,,1/1/2001,2,1,2,123-548-4232,,,,
mpcrds+auto+georgesmith@gmail.com,,1/1/1978,1,2,1,555-963-5033,,1,,George Smith's DOB was calculated as 40 years ago. Setting a standard date for simplicity.
mpcrds+auto+suesmith@gmail.com,,1/1/1980,2,2,1,555-963-5032,,2,,Sue Smith's DOB was calculated as 38 years ago. Setting a standard date for simplicity.
mpcrds+auto+franksmith@gmail.com,,1/1/2010,1,1,2,,,1,,Frank Smith's DOB was calculated as 8 years ago. Setting a standard date for simplicity.
mpcrds+auto+zoesmith@gmail.com,,1/3/2014,1,1,2,,,,,Zoe Smith's DOB was calculated as 4 years ago. Setting a standard date for simplicity. She's a March baby.
mpcrds+auto+jimsmith@gmail.com,,1/3/2016,1,1,2,,,,,Jim Smith's DOB was calculated as 2 years ago. Setting a standard date for simplicity. He's a March baby.
mpcrds+tremplay.richard@gmail.com,,1/1/1978,1,2,1,513-410-3540,,1,,Richard Tremplay's DOB was calculated as 40 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.mary@gmail.com,,1/1/1980,2,2,1,513-410-3540,,2,,Mary Tremplay's DOB was calculated as 38 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.johan@gmail.com,,1/1/2000,1,1,4,513-410-3540,,1,,Johan Tremplay's DOB was calculated as 18 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.Josina@gmail.com,,1/1/2014,2,1,2,513-410-3540,,2,,Josina Tremplay's DOB was calculated as 4 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.vincent@gmail.com,,1/1/2009,1,1,2,513-410-3540,,1,,Vincent Brown's DOB was calculated as 9 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.sophia@gmail.com,,1/1/2009,2,1,2,513-410-3540,,2,,"Sophia
Bremmen's DOB was calculated as 9 years ago. Setting a standard date for simplicity."
mpcrds+tremplay.george@gmail.com,,1/1/1958,1,1,3,513-410-3540,,1,,George Tremplay's DOB was calculated as 60 years ago. Setting a standard date for simplicity.
mpcrds+tremplay.margaret@gmail.com,,1/1/1960,2,1,3,513-410-3540,,2,,Margaret Ray's DOB was calculated as 58 years ago. Setting a standard date for simplicity.
rtheil+Testing@crossroads.net,Brian,1/1/1975,1,2,1,513-654-8745,555-365-4125,1,,
rtheil+wife@crossroads.net,A,1/1/1975,2,2,1,321-654-8184,,2,,
rtheil+kid14@crossroads.net,,1/1/2001,2,1,2,321-548-6154,,,,
rtheil+kid17@crossroads.net,D,1/1/1998,1,1,4,654-818-1425,,,,
kidsclubdad@gmail.com,Jokes,1/1/1964,1,2,1,123-654-8745,555-365-4125,1,,Kids Club Dad's nickname was Dadjokes
kidsclubmom@gmail.com,A,1/1/1965,2,2,1,321-645-8184,,2,,Kids Club Mom's nickname was Momma
kidsclubkid14@gmail.com,,1/1/2004,2,1,2,321-548-6154,,,,Kids Club Kid 14's nickname was Billy the Kid
kidsclubkid17@gmail.com,D,1/1/2001,1,1,4,654-818-1425,,,,
mpcrds+cloudstrife@gmail.com,S,1/1/1975,1,2,1,513-654-8745,555-365-4125,1,,
mpcrds+tifalockhart@gmail.com,A,1/1/1975,2,2,1,321-444-8184,,2,,
mpcrds+marlenewallace@gmail.com,,1/1/2001,2,1,2,123-548-4232,,,,
