R_Participant_Email,R_Start_Date,R_Show_On_Map,R_Host_Status_ID,R_Group_Leader_Status_ID
mpcrds+auto+franksmith@gmail.com,1/1/2015,0,0,1
mpcrds+auto+zoesmith@gmail.com,1/1/2015,0,0,1
mpcrds+auto+jimsmith@gmail.com,1/1/2017,0,0,1
mpcrds+tremplay.george@gmail.com,1/1/2015,0,0,1
mpcrds+tremplay.margaret@gmail.com,1/1/2015,0,0,1
mpcrds+tremplay.johan@gmail.com,1/1/2017,0,0,1
mpcrds+tremplay.Josina@gmail.com,1/1/2017,0,0,1
mpcrds+tremplay.vincent@gmail.com,1/1/2017,0,0,1
mpcrds+tremplay.sophia@gmail.com,1/1/2017,0,0,1
mpcrds+picard@gmail.com,2/2/2015,1,3,4
mpcrds+data@gmail.com,2/2/2015,1,3,4
mpcrds+worf@gmail.com,2/2/2015,1,3,4
mpcrds+riker@gmail.com,2/2/2015,1,3,4
mpcrds+troi@gmail.com,2/2/2015,1,3,4
mpcrds+laforge@gmail.com,2/2/2015,1,3,1
mpcrds+guinan@gmail.com,2/2/2015,1,3,4
mpcrds+obrien@gmail.com,2/2/2015,1,3,4
mpcrds+crusher@gmail.com,2/2/2015,1,3,1
mpcrds+ae@gmail.com,2/2/2015,1,3,4
mpcrds+sh@gmail.com,2/2/2015,1,3,4
mpcrds+auto+matcauthon@gmail.com,2/2/2015,1,3,4
mpcrds+auto+talmanesdelovinde@gmail.com,2/2/2015,1,3,1
mpcrds+auto+naleseanaldiaya@gmail.com,2/2/2015,1,3,1
mpcrds+sherlock@gmail.com,2/2/2015,1,3,4
mpcrds+watson@gmail.com,2/2/2015,1,3,1
