R_User_Email,R_Setup_Date,Statement_Type_ID,R_Statement_Frequency_ID,R_Statement_Method_ID,INT_Stripe_Processor_ID,DEMO_Stripe_Processor_ID
kcradduck+testing@crossroads.net,8/5/2015,1,1,2,cus_7I3CcWLFnecIAV,cus_7I3CcWLFnecIAV
kcradduck+husband@crossroads.net,8/5/2015,1,1,2,,
mpcrds+auto+1@gmail.com,1/3/2017,1,1,2,cus_9rioLxKczE0gLb,cus_9sx2eijgfgS97o
mpcrds+auto+2@gmail.com,1/3/2017,1,1,2,cus_9s2PUrgn12xY0n,cus_9sx3C3pje6vvFk
mpcrds+auto+husband@gmail.com,1/3/2017,2,1,2,cus_9s5SXiOeM71zQH,
mpcrds+auto+wife@gmail.com,1/3/2017,2,1,2,,
mpcrds+12@gmail.com,8/5/2015,1,1,2,,cus_6jygOjhaghblHo
mpcrds+15@gmail.com,8/5/2015,1,1,2,,cus_6nJJLwDL2q0clu
mpcrds+32@gmail.com,7/15/2015,1,1,2,cus_8gBB5FUZFB9b0n,cus_6cAhwmmKyaw9D5
mpcrds+auto+fredflintstone@gmail.com,7/6/2015,1,3,4,cus_A5Sil6Ppz0rbW6,cus_A5SVYfrwMNfi4w
mpcrds+auto+wilmaflintstone@gmail.com,7/6/2015,1,1,2,cus_A5SNLFyZ8tADNJ,cus_A5SjBRrHWHDuMC
mpcrds+auto+pebblesflintstone@gmail.com,7/6/2015,1,3,4,,
mpcrds+16@gmail.com,8/5/2015,1,1,2,,cus_6ort2MTNc0l0Uh
mpcrds+auto+georgesmith@gmail.com,7/6/2015,1,3,4,,
mpcrds+auto+suesmith@gmail.com,7/6/2015,1,3,4,,
mpcrds+20@gmail.com,7/1/2015,1,1,2,cus_8Lf397wd4AxozZ,cus_6Woe7iX2PlkGeb
mpcrds+tremplay.richard@gmail.com,7/6/2015,2,3,4,,
mpcrds+tremplay.mary@gmail.com,7/6/2015,2,3,4,,
rtheil+Testing@crossroads.net,8/5/2015,1,1,2,,cus_7I3CcWLFnecIAV
rtheil+wife@crossroads.net,8/5/2015,1,1,2,,
mpcrds+cloudstrife@gmail.com,7/6/2015,1,3,4,cus_8gGm4dhM3ul1Cp,cus_8gGoksUHAuJgQi
mpcrds+tifalockhart@gmail.com,7/6/2015,1,1,2,cus_8gGvY5NF7fPjI8,cus_85UsQReBytr2dn
mpcrds+marlenewallace@gmail.com,7/6/2015,1,3,4,,
