Member_Email,New_Member_Email,,
kcradduck+testing@crossroads.net,kcradduck+husband@crossroads.net,,
kcradduck+testing@crossroads.net,kcradduck+kid14@crossroads.net,,Contact with New_Member_Email will be added to household of Member_Email (both are required fields)
kcradduck+testing@crossroads.net,kcradduck+kid17@crossroads.net,,
mpcrds+auto+husband@gmail.com,mpcrds+auto+wife@gmail.com,,
mpcrds+auto+husband@gmail.com,mpcrds+auto+child1@gmail.com,,
mpcrds+auto+husband@gmail.com,mpcrds+auto+child2@gmail.com,,
mpcrds+auto+fredflintstone@gmail.com,mpcrds+auto+pebblesflintstone@gmail.com,,
mpcrds+auto+fredflintstone@gmail.com,mpcrds+auto+wilmaflintstone@gmail.com,,
rtheil+testing@crossroads.net,rtheil+kid17@crossroads.net,,
rtheil+testing@crossroads.net,rtheil+kid14@crossroads.net,,
rtheil+testing@crossroads.net,rtheil+wife@crossroads.net,,
kidsclubdad@gmail.com,kidsclubmom@gmail.com,,
kidsclubdad@gmail.com,kidsclubkid14@gmail.com,,
kidsclubdad@gmail.com,kidsclubkid17@gmail.com,,
mpcrds+cloudstrife@gmail.com,mpcrds+tifalockhart@gmail.com,,
mpcrds+cloudstrife@gmail.com,mpcrds+marlenewallace@gmail.com,,
