User_Email,Participant_Type_ID,Participant_Start_Date,Show_On_Map,Host_Status_ID,Group_Leader_Status_ID,
mpcrds+auto+franksmith@gmail.com,1,1/1/2015,,,,
mpcrds+auto+zoesmith@gmail.com,1,1/1/2015,,,,Donor account will be updated for user with User_Email
mpcrds+auto+jimsmith@gmail.com,1,1/1/2017,,,,"Required: User_Email, Participant_Type_ID, Participant_Start_Date"
mpcrds+tremplay.george@gmail.com,1,1/1/2015,,,,"Optional: Show_On_Map, Host_Status_ID, Group_Leader_Status_ID"
mpcrds+tremplay.margaret@gmail.com,1,1/1/2015,,,,
mpcrds+tremplay.johan@gmail.com,1,1/1/2017,,,,"If cell is empty, Null will be entered in the DB"
mpcrds+tremplay.Josina@gmail.com,1,1/1/2017,,,,
mpcrds+tremplay.vincent@gmail.com,1,1/1/2017,,,,
mpcrds+tremplay.sophia@gmail.com,1,1/1/2017,,,,
mpcrds+picard@gmail.com,1,2/2/2015,1,3,4,
mpcrds+data@gmail.com,1,2/2/2015,1,3,4,
mpcrds+worf@gmail.com,1,2/2/2015,1,3,4,
mpcrds+riker@gmail.com,1,2/2/2015,1,3,4,
mpcrds+troi@gmail.com,1,2/2/2015,1,3,4,
mpcrds+laforge@gmail.com,1,2/2/2015,1,3,1,
mpcrds+guinan@gmail.com,1,2/2/2015,1,3,4,
mpcrds+obrien@gmail.com,1,2/2/2015,1,3,4,
mpcrds+crusher@gmail.com,1,2/2/2015,1,3,1,
mpcrds+ae@gmail.com,1,2/2/2015,1,3,4,
mpcrds+sh@gmail.com,1,2/2/2015,1,3,4,
mpcrds+auto+matcauthon@gmail.com,1,2/2/2015,1,3,4,
mpcrds+auto+talmanesdelovinde@gmail.com,1,2/2/2015,1,3,1,
mpcrds+auto+naleseanaldiaya@gmail.com,1,2/2/2015,1,3,1,
