R_Contact_Email,R_Related_Contact_Email,R_Relationship_ID,Start_Date
kcradduck+testing@crossroads.net,kcradduck+kid14@crossroads.net,6,
kcradduck+testing@crossroads.net,kcradduck+kid17@crossroads.net,6,
kcradduck+husband@crossroads.net,kcradduck+testing@crossroads.net,1,7/2/2015
kcradduck+husband@crossroads.net,kcradduck+kid14@crossroads.net,6,
kcradduck+husband@crossroads.net,kcradduck+kid17@crossroads.net,6,
kcradduck+kid14@crossroads.net,kcradduck+kid17@crossroads.net,2,
mpcrds+auto+fredflintstone@gmail.com,mpcrds+auto+wilmaflintstone@gmail.com,1,7/2/2015
mpcrds+auto+fredflintstone@gmail.com,mpcrds+auto+pebblesflintstone@gmail.com,21,
mpcrds+auto+wilmaflintstone@gmail.com,mpcrds+auto+pebblesflintstone@gmail.com,21,
mpcrds+auto+husband@gmail.com,mpcrds+auto+wife@gmail.com,1,
mpcrds+auto+husband@gmail.com,mpcrds+auto+child1@gmail.com,6,
mpcrds+auto+husband@gmail.com,mpcrds+auto+child2@gmail.com,6,
mpcrds+auto+wife@gmail.com,mpcrds+auto+child1@gmail.com,6,
mpcrds+auto+wife@gmail.com,mpcrds+auto+child2@gmail.com,6,
mpcrds+auto+child1@gmail.com,mpcrds+auto+child2@gmail.com,2,
mpcrds+auto+georgesmith@gmail.com,mpcrds+auto+suesmith@gmail.com,1,
mpcrds+auto+georgesmith@gmail.com,mpcrds+auto+franksmith@gmail.com,6,
mpcrds+auto+georgesmith@gmail.com,mpcrds+auto+zoesmith@gmail.com,6,
mpcrds+auto+georgesmith@gmail.com,mpcrds+auto+jimsmith@gmail.com,6,
mpcrds+auto+suesmith@gmail.com,mpcrds+auto+franksmith@gmail.com,6,
mpcrds+auto+suesmith@gmail.com,mpcrds+auto+zoesmith@gmail.com,6,
mpcrds+auto+suesmith@gmail.com,mpcrds+auto+jimsmith@gmail.com,6,
mpcrds+auto+franksmith@gmail.com,mpcrds+auto+zoesmith@gmail.com,6,
mpcrds+auto+franksmith@gmail.com,mpcrds+auto+jimsmith@gmail.com,6,
mpcrds+auto+zoesmith@gmail.com,mpcrds+auto+jimsmith@gmail.com,6,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.mary@gmail.com,1,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.vincent@gmail.com,21,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.sophia@gmail.com,21,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.george@gmail.com,29,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.margaret@gmail.com,29,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.johan@gmail.com,6,
mpcrds+tremplay.richard@gmail.com,mpcrds+tremplay.Josina@gmail.com,6,
mpcrds+tremplay.mary@gmail.com,mpcrds+tremplay.johan@gmail.com,6,
mpcrds+tremplay.mary@gmail.com,mpcrds+tremplay.Josina@gmail.com,6,
mpcrds+tremplay.johan@gmail.com,mpcrds+tremplay.Josina@gmail.com,2,
rtheil+testing@crossroads.net,rtheil+wife@crossroads.net,1,7/2/2015
rtheil+testing@crossroads.net,rtheil+kid14@crossroads.net,6,
rtheil+testing@crossroads.net,rtheil+kid17@crossroads.net,6,
rtheil+wife@crossroads.net,rtheil+kid14@crossroads.net,6,
rtheil+wife@crossroads.net,rtheil+kid17@crossroads.net,6,
rtheil+kid14@crossroads.net,rtheil+kid17@crossroads.net,2,
kidsclubdad@gmail.com,kidsclubmom@gmail.com,1,7/2/2015
kidsclubdad@gmail.com,kidsclubkid14@gmail.com,6,
kidsclubdad@gmail.com,kidsclubkid17@gmail.com,6,
kidsclubmom@gmail.com,kidsclubkid14@gmail.com,6,
kidsclubmom@gmail.com,kidsclubkid17@gmail.com,6,
kidsclubkid14@gmail.com,kidsclubkid17@gmail.com,2,
mpcrds+cloudstrife@gmail.com,mpcrds+tifalockhart@gmail.com,1,
mpcrds+cloudstrife@gmail.com,mpcrds+marlenewallace@gmail.com,21,
mpcrds+tifalockhart@gmail.com,mpcrds+marlenewallace@gmail.com,21,
mpcrds+auto+childcareparent@gmail.com,mpcrds+auto+childcarechild@gmail.com,6,
mpcrds+auto+wife@gmail.com,mpcrds+auto+husband@gmail.com,42,01/01/18
mpcrds+auto+husband@gmail.com,mpcrds+auto+wife@gmail.com,42,01/01/18
