R_Group_Name,R_Participant_Email,R_Group_Role_ID,R_Start_Date,Preferred_Serving_Event_Type_ID
(t) GO Midgar 2018 (Trip Participants),mpcrds+cloudstrife@gmail.com,16,1/1/2019,
(t+auto) GO Bedrock 2018 (Trip Participants),mpcrds+auto+fredflintstone@gmail.com,16,1/1/2019,
(t+auto) Band of the Red Hand,mpcrds+auto+matcauthon@gmail.com,22,11/1/2015,
(t+auto) Band of the Red Hand,mpcrds+auto+talmanesdelovinde@gmail.com,16,11/1/2015,
(t+auto) Band of the Red Hand,mpcrds+auto+naleseanaldiaya@gmail.com,16,11/1/2015,
(t+auto) The Next Generation,mpcrds+picard@gmail.com,22,11/1/2015,
(t+auto) The Next Generation,mpcrds+data@gmail.com,22,11/1/2015,
(t+auto) The Next Generation,mpcrds+worf@gmail.com,22,11/1/2015,
(t+auto) The Next Generation,mpcrds+riker@gmail.com,22,11/1/2015,
(t+auto) The Next Generation,mpcrds+troi@gmail.com,66,11/1/2015,
(t+auto) The Next Generation,mpcrds+laforge@gmail.com,66,11/1/2015,
(t+auto) The Next Generation,mpcrds+guinan@gmail.com,16,11/1/2015,
(t+auto) The Next Generation,mpcrds+obrien@gmail.com,16,11/1/2015,
(t+auto) The Next Generation,mpcrds+crusher@gmail.com,16,11/1/2015,
Albert E,mpcrds+ae@gmail.com,22,11/1/2015,
Stephen H,mpcrds+sh@gmail.com,22,11/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.richard@gmail.com,22,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.mary@gmail.com,22,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.johan@gmail.com,16,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.Josina@gmail.com,16,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.vincent@gmail.com,16,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.sophia@gmail.com,16,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.george@gmail.com,22,5/1/2015,
(t) Superbowl Oakley Group,mpcrds+tremplay.margaret@gmail.com,16,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.richard@gmail.com,22,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.mary@gmail.com,22,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.johan@gmail.com,16,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.Josina@gmail.com,16,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.vincent@gmail.com,16,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.sophia@gmail.com,16,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.george@gmail.com,22,5/1/2015,
(t) KidsClub Oakley Group,mpcrds+tremplay.margaret@gmail.com,16,5/1/2015,
(t+auto) Serve Shinra Electric Power Company,mpcrds+auto+barretwallace@gmail.com,16,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+barretwallace@gmail.com,16,5/1/2015,
Stephen H,mpcrds+ae@gmail.com,16,11/1/2015,
(t+auto) Serve Shinra Electric Power Company,mpcrds+auto+barretwallace@gmail.com,22,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+barretwallace@gmail.com,22,5/1/2015,
(t+auto) Private Group,mpcrds+sherlock@gmail.com,22,11/1/2015,
(t+auto) Private Group,mpcrds+watson@gmail.com,16,11/1/2015,
Isaac N,mpcrds+newton@gmail.com,22,11/1/2015,
(t+auto) Verify UI,mpcrds+auto+verifyui@gmail.com,16,5/1/2015,
(t+auto) Verify UI,mpcrds+auto+ISignUp@gmail.com,16,5/1/2015,
(t+auto) Verify UI,mpcrds+auto+uileader@gmail.com,22,5/1/2015,
(t+auto) Verify UI,mpcrds+auto+uileader@gmail.com,16,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+nopreferred@gmail.com,16,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+inactive@gmail.com,16,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+deceased@gmail.com,16,5/1/2015,
(t+auto) Avalanche,mpcrds+auto+memberofavalanche@gmail.com,16,5/1/2015,497
(t+auto) Serve Shinra Electric Power Company,mpcrds+auto+memberofavalanche@gmail.com,16,5/1/2015,
(t+auto) Parents Who Need Childcare,mpcrds+auto+childcareparent@gmail.com,16,1/1/2019,
Common Friendship,olga.kharlip@contractor.crossroads.net,16,9/25/2019,
Graduated Seniors,olga.kharlip@contractor.crossroads.net,16,5/29/2018,
Hebrew Roots-Connecting the Dots,olga.kharlip@contractor.crossroads.net,66,9/16/2019,
Just Jamin together ,olga.kharlip@contractor.crossroads.net,16,9/16/2019,
just testing new group creation,olga.kharlip@contractor.crossroads.net,22,12/10/2019,
Lets test together !!!!,olga.kharlip@contractor.crossroads.net,22,12/17/2019,
NDTT - Blessed Life - 90 Day Time Period Ended,olga.kharlip@contractor.crossroads.net,16,1/23/2020,
Real Moms Clermont YMCA ,olga.kharlip@contractor.crossroads.net,16,9/18/2019,
Testing all groups with Olga,olga.kharlip@contractor.crossroads.net,22,12/17/2019,
new group with okta sign in,olga.kharlip@contractor.crossroads.net,22,3/3/2020,
Brown County Play&Purpose Journey,olga.kharlip@contractor.crossroads.net,22,9/16/2019,
